certificationID,employeeID,typeID
BDGE3392763,070293781IBM,CSRA7997449
BDGE9551419,070293781IBM,CSRA1354551
BDGE8174538,070293781IBM,CSRA6169934
BDGE1346757,070293781IBM,CSRA9413532
BDGE9262331,070293781IBM,CSRA1949455
BDGE8687311,070293781IBM,CSRA7199535
BDGE6665665,075951781IBM,CSRA3397873
BDGE4871528,075951781IBM,CSRA8936951
BDGE4699341,075951781IBM,CSRA9484113
BDGE7279411,077396781IBM,CSRA7234599
BDGE4452378,077396781IBM,CSRA7984337
BDGE3813413,077396781IBM,CSRA7927433
BDGE7393564,077396781IBM,CSRA8879829
BDGE1985984,077396781IBM,CSRA9931996
BDGE3191749,077396781IBM,CSRA2488745
BDGE8859198,077396781IBM,CSRA9636517
BDGE5313484,077396781IBM,CSRA3554351
BDGE9211649,077396781IBM,CSRA4728778
BDGE8427227,077396781IBM,CSRA3252954
BDGE5981517,077396781IBM,CSRA2528441
BDGE4985318,077396781IBM,CSRA3646784
BDGE1135511,077396781IBM,CSRA3921217
BDGE9261688,077396781IBM,CSRA5642597
BDGE2731315,077396781IBM,CSRA4526573
BDGE4628858,077396781IBM,CSRA4263315
BDGE9991524,077396781IBM,CSRA1671948
BDGE7423985,077396781IBM,CSRA7785852
BDGE8636164,077396781IBM,CSRA4677376
BDGE9346469,077396781IBM,CSRA8864524
BDGE6368578,077396781IBM,CSRA4387214
BDGE5767927,077396781IBM,CSRA1631494
BDGE4778172,077396781IBM,CSRA7217935
BDGE9387736,077396781IBM,CSRA6421842
BDGE8495664,077396781IBM,CSRA5372535
BDGE4926638,077396781IBM,CSRA5512577
BDGE6948527,077396781IBM,CSRA1626174
BDGE6615178,077396781IBM,CSRA5919472
BDGE1991166,079945781IBM,CSRA4286835
BDGE6957632,079945781IBM,CSRA8762398
BDGE8221235,079945781IBM,CSRA7859915
BDGE3518288,079945781IBM,CSRA3975729
BDGE6989135,079945781IBM,CSRA9836276
BDGE1825994,079945781IBM,CSRA9334913
BDGE1482217,079945781IBM,CSRA3954721
BDGE6415759,079945781IBM,CSRA2339844
BDGE3836655,079945781IBM,CSRA2398254
BDGE2928225,079945781IBM,CSRA1184995
BDGE3651382,079945781IBM,CSRA6631267
BDGE7551124,079945781IBM,CSRA5939417
BDGE7241828,079945781IBM,CSRA8565497
BDGE9647171,079945781IBM,CSRA5875634
BDGE7734295,079945781IBM,CSRA9736546
BDGE7542272,079945781IBM,CSRA2975642
BDGE3961765,079945781IBM,CSRA8365892
BDGE4214877,079945781IBM,CSRA4718563
BDGE9654135,079945781IBM,CSRA3356261
BDGE8261675,079945781IBM,CSRA6391118
BDGE1638251,079945781IBM,CSRA8583891
BDGE8597564,079945781IBM,CSRA6925691
BDGE3953542,077336781IBM,CSRA5742583
BDGE2698747,077336781IBM,CSRA9496462
BDGE8652383,077336781IBM,CSRA6651777
BDGE3787216,077336781IBM,CSRA2146862
BDGE2966478,078217781IBM,CSRA1724344
BDGE1749833,078217781IBM,CSRA3128277
BDGE2847893,078217781IBM,CSRA5195511
BDGE7256563,078217781IBM,CSRA8311528
BDGE8596221,078217781IBM,CSRA8216167
BDGE5992292,078217781IBM,CSRA2139169
BDGE1434879,078217781IBM,CSRA9287477
BDGE9824935,078217781IBM,CSRA8227217
BDGE7457739,079001781IBM,CSRA1911562
BDGE8933171,079001781IBM,CSRA3869118
BDGE6287985,079001781IBM,CSRA3788945
BDGE2842766,079001781IBM,CSRA6971769
BDGE8792753,079001781IBM,CSRA6787636
BDGE6216877,001054781IBM,CSRA2454442
BDGE7921728,001054781IBM,CSRA6467568
BDGE2222174,001054781IBM,CSRA9997424
BDGE8257328,000135781IBM,CSRA3797779
BDGE2638552,000135781IBM,CSRA5314873
BDGE9138921,000135781IBM,CSRA7875595
BDGE2243612,000135781IBM,CSRA3229324
BDGE8543332,000135781IBM,CSRA7235293
BDGE1743355,000135781IBM,CSRA4177332
BDGE8382463,000135781IBM,CSRA7951682
BDGE2416713,000135781IBM,CSRA1448739
BDGE7127473,000135781IBM,CSRA5934481
BDGE7557651,079353781IBM,CSRA2682826
BDGE7312259,079353781IBM,CSRA5517576
BDGE8898836,079353781IBM,CSRA6447737
BDGE4538594,079353781IBM,CSRA8399476
BDGE3149727,079353781IBM,CSRA9893149
BDGE7171685,109848781IBM,CSRA8725932
BDGE4385374,109848781IBM,CSRA7961817
BDGE3728196,Y9G8C9638IBM,CSRA4723268
BDGE7449763,Y9G8C9638IBM,CSRA5167789
BDGE9169823,020921781IBM,CSRA7233784
BDGE2896875,020921781IBM,CSRA7431956
BDGE5141756,020921781IBM,CSRA2131565
BDGE1524514,020921781IBM,CSRA2311372
BDGE6849424,020921781IBM,CSRA5987188
BDGE5763813,020921781IBM,CSRA8854578
BDGE5236733,020921781IBM,CSRA4961182
BDGE1724261,020921781IBM,CSRA9598416
BDGE7982349,020921781IBM,CSRA3481919
BDGE2483781,020921781IBM,CSRA8271613
BDGE6385757,020921781IBM,CSRA1984914
BDGE3283842,020921781IBM,CSRA1819994
BDGE5331668,020921781IBM,
BDGE8135162,020921781IBM,
BDGE9782224,000714781IBM,
BDGE7164835,000714781IBM,
BDGE6386157,000714781IBM,
BDGE3524168,000714781IBM,
BDGE9187597,000714781IBM,
BDGE7349467,000714781IBM,
BDGE5695372,000714781IBM,
BDGE7235256,000714781IBM,
BDGE9545571,074627781IBM,
BDGE7355714,074627781IBM,
BDGE1847772,074627781IBM,
BDGE1373253,000855781IBM,
BDGE2256474,000855781IBM,
BDGE4746364,000855781IBM,
BDGE2276828,000855781IBM,
BDGE7861144,000855781IBM,
BDGE5974249,000855781IBM,
BDGE4486324,000855781IBM,
BDGE2256281,000855781IBM,
BDGE2679247,000855781IBM,
BDGE3817196,077391781IBM,
BDGE5357429,077391781IBM,
BDGE8599482,077391781IBM,
BDGE4576241,077391781IBM,
BDGE2565536,077391781IBM,
BDGE5732499,077391781IBM,
BDGE2418623,077391781IBM,
BDGE2371147,077391781IBM,
BDGE7426646,057209781IBM,
BDGE2913819,057209781IBM,
BDGE2868151,057209781IBM,
BDGE3277818,057209781IBM,
BDGE6959137,057209781IBM,
BDGE7877741,057209781IBM,
BDGE1838457,057209781IBM,
BDGE9916971,057209781IBM,
BDGE8617618,057209781IBM,
BDGE3754367,057209781IBM,
BDGE1888218,057209781IBM,
BDGE3381286,057209781IBM,
BDGE6228786,057209781IBM,
BDGE7365927,057209781IBM,
BDGE9739699,057209781IBM,
BDGE9167553,057209781IBM,
BDGE3739938,057209781IBM,
BDGE3145278,057209781IBM,
BDGE6893524,079351781IBM,
BDGE5223232,079351781IBM,
BDGE7352479,079351781IBM,
BDGE2472962,000176781IBM,
BDGE7775623,000176781IBM,
BDGE3426562,000176781IBM,
BDGE7866734,000176781IBM,
BDGE7128777,000176781IBM,
BDGE3344117,000176781IBM,
BDGE4798648,000176781IBM,
BDGE3259841,000176781IBM,
BDGE3235877,000176781IBM,
BDGE6538228,000176781IBM,
BDGE2547189,000176781IBM,
BDGE2252841,000176781IBM,
BDGE2587381,000176781IBM,
BDGE2518438,000176781IBM,
BDGE9522886,000176781IBM,
BDGE3391827,000176781IBM,
BDGE6997483,000176781IBM,
BDGE2788847,000176781IBM,
BDGE9976984,000176781IBM,
BDGE4817593,000176781IBM,
BDGE2192664,000176781IBM,
BDGE9612754,001215781IBM,
BDGE2428263,001215781IBM,
BDGE7923829,001215781IBM,
BDGE6541855,001215781IBM,
BDGE6332556,001215781IBM,
BDGE3411971,001215781IBM,
BDGE4826574,001215781IBM,
BDGE3488892,001215781IBM,
BDGE6169192,001215781IBM,
BDGE7154266,001215781IBM,
BDGE4239614,107089781IBM,
BDGE8685564,107089781IBM,
BDGE5973454,068738781IBM,
BDGE5771167,068738781IBM,
BDGE6771791,068738781IBM,
BDGE7579848,068738781IBM,
BDGE1369356,068738781IBM,
BDGE7738436,068738781IBM,
BDGE7646684,068738781IBM,
BDGE4369456,068738781IBM,
BDGE1643585,068738781IBM,
BDGE3836353,068738781IBM,
BDGE8869184,106397781IBM,
BDGE1929423,106397781IBM,
BDGE2152965,106397781IBM,
BDGE5944634,106397781IBM,
BDGE9125222,106397781IBM,
BDGE5858513,080844781IBM,
BDGE6368377,080844781IBM,
BDGE7447315,080844781IBM,
BDGE7489875,080844781IBM,
BDGE1874478,080844781IBM,
BDGE2342866,080844781IBM,
BDGE2494238,080844781IBM,
BDGE5587315,080844781IBM,
BDGE6223824,080844781IBM,
BDGE2789218,109102781IBM,
BDGE5393867,109102781IBM,
BDGE8636915,109102781IBM,
BDGE9187388,109102781IBM,
BDGE9797773,109102781IBM,
BDGE1353776,002033781IBM,
BDGE7951753,002033781IBM,
BDGE2196549,106836781IBM,
BDGE7518523,106836781IBM,
BDGE9391426,106836781IBM,
BDGE7512544,106836781IBM,
BDGE1946443,106836781IBM,
BDGE8175397,106836781IBM,
BDGE5596569,106836781IBM,
BDGE3252424,106836781IBM,
BDGE8365142,056676781IBM,
BDGE8717538,056676781IBM,
BDGE3138863,056676781IBM,
BDGE9375866,056676781IBM,
BDGE7443812,056676781IBM,
BDGE4928835,056676781IBM,
BDGE8612131,106125781IBM,
BDGE4156552,106125781IBM,
BDGE5651279,106125781IBM,
BDGE8522342,106125781IBM,
BDGE8653719,106125781IBM,
BDGE3919913,077813781IBM,
BDGE3414246,077813781IBM,
BDGE3252472,077813781IBM,
BDGE4749943,077813781IBM,
BDGE7745941,077813781IBM,
BDGE8786849,077813781IBM,
BDGE7874112,077813781IBM,
BDGE2243236,077813781IBM,
BDGE5649478,077813781IBM,
BDGE8769915,07216A781IBM,
BDGE1194825,07216A781IBM,
BDGE1993268,07216A781IBM,
BDGE5396117,07216A781IBM,
BDGE5261362,07216A781IBM,
BDGE6863533,07216A781IBM,
BDGE2947662,07216A781IBM,
BDGE9716472,07216A781IBM,
BDGE2951638,07216A781IBM,
BDGE9787449,07216A781IBM,
BDGE1353993,07216A781IBM,
BDGE6216511,07216A781IBM,
BDGE9311389,07216A781IBM,
BDGE1782121,07216A781IBM,
BDGE9437762,07216A781IBM,
BDGE5133124,07216A781IBM,
BDGE1356733,07216A781IBM,
BDGE1156451,07216A781IBM,
BDGE8852844,07216A781IBM,
BDGE4997973,070390781IBM,
BDGE9186975,070390781IBM,
BDGE8646476,070390781IBM,
BDGE1876566,070390781IBM,
BDGE9223515,070390781IBM,
BDGE5289736,070390781IBM,
BDGE6484973,070390781IBM,
BDGE1235475,070390781IBM,
BDGE7697138,070390781IBM,
BDGE4143861,070390781IBM,
BDGE1523993,070390781IBM,
BDGE5862163,06620G781IBM,
BDGE1912717,06620G781IBM,
BDGE3228748,06620G781IBM,
BDGE2433885,06620G781IBM,
BDGE4184527,068008781IBM,
BDGE8153121,068008781IBM,
BDGE3311484,068008781IBM,
BDGE6375339,068008781IBM,
BDGE1848244,087632781IBM,
BDGE3943916,087632781IBM,
BDGE3365826,087632781IBM,
BDGE2175952,087632781IBM,
BDGE1116213,087632781IBM,
BDGE3667113,087632781IBM,
BDGE6656193,087632781IBM,
BDGE8695776,087632781IBM,
BDGE3291999,087632781IBM,
BDGE4658972,087632781IBM,
BDGE8614452,087632781IBM,
BDGE5754218,087632781IBM,
BDGE3386546,087632781IBM,
BDGE5344442,087632781IBM,
BDGE8188715,087632781IBM,
BDGE3632157,087632781IBM,
BDGE2683783,087632781IBM,
BDGE5662781,087632781IBM,
BDGE5511182,087632781IBM,
BDGE8136341,087632781IBM,
BDGE7334541,068504781IBM,
BDGE2678565,068504781IBM,
BDGE7276224,068504781IBM,
BDGE5554134,068504781IBM,
BDGE8497241,068504781IBM,
BDGE2121232,068504781IBM,
BDGE8246972,071013781IBM,
BDGE2365971,071013781IBM,
BDGE9198858,071013781IBM,
BDGE5416673,071013781IBM,
BDGE4634797,071013781IBM,
BDGE5985844,001001781IBM,
BDGE1364539,001001781IBM,
BDGE1695821,001001781IBM,
BDGE8143565,001001781IBM,
BDGE8622848,001001781IBM,
BDGE8872856,001001781IBM,
BDGE2796649,001001781IBM,
BDGE4761943,001001781IBM,
BDGE4756678,002036781IBM,
BDGE9869189,002036781IBM,
BDGE7948174,002036781IBM,
BDGE1276941,077594781IBM,
BDGE6695859,077594781IBM,
BDGE6711525,077594781IBM,
BDGE3271923,077594781IBM,
BDGE2255747,077594781IBM,
BDGE7481228,077594781IBM,
BDGE3787833,077594781IBM,
BDGE3534713,077594781IBM,
BDGE2177179,077594781IBM,
BDGE3435163,079942781IBM,
BDGE1649747,079942781IBM,
BDGE8121224,079942781IBM,
BDGE5445186,079942781IBM,
BDGE8354134,079942781IBM,
BDGE2228349,079922781IBM,
BDGE9562233,079922781IBM,
BDGE3852297,079922781IBM,
BDGE2665172,079922781IBM,
BDGE4545875,079922781IBM,
BDGE2692412,079922781IBM,
BDGE8311464,079922781IBM,
BDGE4979411,079922781IBM,
BDGE7973775,079922781IBM,
BDGE7979549,079922781IBM,
BDGE1861623,079710781IBM,
BDGE3239225,079710781IBM,
BDGE6979525,079710781IBM,
BDGE4489114,079710781IBM,
BDGE9922959,079710781IBM,
BDGE4663141,079710781IBM,
BDGE2956766,079710781IBM,
BDGE3959295,079710781IBM,
BDGE5812442,079710781IBM,
BDGE5251273,079710781IBM,
BDGE7434374,108578781IBM,
BDGE1663167,108578781IBM,
BDGE3513511,108578781IBM,
BDGE5351434,072221781IBM,
BDGE6315478,072221781IBM,
BDGE2969876,072221781IBM,
BDGE1953758,072221781IBM,
BDGE3238816,072221781IBM,
BDGE6799797,072221781IBM,
BDGE4447198,072416781IBM,
BDGE1683337,072416781IBM,
BDGE5733497,072416781IBM,
BDGE4722358,072416781IBM,
BDGE5266595,079946781IBM,
BDGE2479642,079946781IBM,
BDGE9347832,079946781IBM,
BDGE9193664,079946781IBM,
BDGE6853937,079946781IBM,
BDGE7756211,079946781IBM,
BDGE3476599,079946781IBM,
BDGE1457653,079946781IBM,
BDGE9777859,079946781IBM,
BDGE2638187,081056781IBM,
BDGE1593615,081056781IBM,
BDGE8684857,081056781IBM,
BDGE4211244,081056781IBM,
BDGE3392625,081056781IBM,
BDGE6626472,081056781IBM,
BDGE6471164,081056781IBM,
BDGE1696516,081056781IBM,
BDGE8649959,081056781IBM,
BDGE3889355,081056781IBM,
BDGE1821443,081056781IBM,
BDGE8885695,081056781IBM,
BDGE6818747,081056781IBM,
BDGE8822524,081056781IBM,
BDGE5498513,081056781IBM,
BDGE2417464,076298781IBM,
BDGE9164252,076298781IBM,
BDGE6686863,076298781IBM,
BDGE7269419,076298781IBM,
BDGE7371933,076298781IBM,
BDGE8229289,076298781IBM,
BDGE5137929,076298781IBM,
BDGE6453547,076298781IBM,
BDGE6822862,076298781IBM,
BDGE4781155,07257A781IBM,
BDGE4658992,07257A781IBM,
BDGE2994292,07257A781IBM,
BDGE6346153,07257A781IBM,
BDGE7469355,07257A781IBM,
BDGE3825747,07257A781IBM,
BDGE4588391,032319781IBM,
BDGE8338678,032319781IBM,
BDGE9254856,032319781IBM,
BDGE3179167,032319781IBM,
BDGE2853344,032319781IBM,
BDGE8414234,032319781IBM,
BDGE9618841,032319781IBM,
BDGE6259672,032319781IBM,
BDGE9416569,032319781IBM,
BDGE8256227,032319781IBM,
BDGE6679344,032319781IBM,
BDGE3658917,032319781IBM,
BDGE9427371,032319781IBM,
BDGE3499296,032319781IBM,
BDGE7838533,032319781IBM,
BDGE8266568,032319781IBM,
BDGE5971925,032319781IBM,
BDGE9639821,032319781IBM,
BDGE1551579,032319781IBM,
BDGE5943633,032319781IBM,
BDGE1552317,002897781IBM,
BDGE9682521,002897781IBM,
BDGE5114769,002897781IBM,
BDGE8347535,002897781IBM,
BDGE6253232,002897781IBM,
BDGE3311569,002897781IBM,
BDGE2187597,002897781IBM,
BDGE2599221,002897781IBM,
BDGE3113436,002897781IBM,
BDGE5218257,002897781IBM,
BDGE8217922,002897781IBM,
BDGE6186895,002897781IBM,
BDGE3814288,002897781IBM,
BDGE3931179,002897781IBM,
BDGE5688982,002897781IBM,
BDGE3782344,002897781IBM,
BDGE2545599,002897781IBM,
BDGE3719258,002897781IBM,
BDGE5528777,002897781IBM,
BDGE5115467,002897781IBM,
BDGE8244637,002897781IBM,
BDGE7916942,002897781IBM,
BDGE1139919,002868781IBM,
BDGE2474359,002868781IBM,
BDGE6573665,002868781IBM,
BDGE6598888,108580781IBM,
BDGE8176432,108580781IBM,
BDGE6433319,108580781IBM,
BDGE3856156,108580781IBM,
BDGE5172856,108580781IBM,
BDGE5547423,108580781IBM,
BDGE1114896,108580781IBM,
BDGE2966617,108580781IBM,
BDGE1543566,108580781IBM,
BDGE3657239,108580781IBM,
BDGE5722789,108580781IBM,
BDGE3737529,108580781IBM,
BDGE1112791,108580781IBM,
BDGE5914676,108580781IBM,
BDGE3762229,108580781IBM,
BDGE6555421,108580781IBM,
BDGE2657958,108580781IBM,
BDGE4541559,108580781IBM,
BDGE1315829,108580781IBM,
BDGE3988975,108580781IBM,
BDGE7153212,108580781IBM,
BDGE2225341,108580781IBM,
BDGE4349295,108580781IBM,
BDGE8583554,000298781IBM,
BDGE6766867,000298781IBM,
BDGE7235198,000298781IBM,
BDGE7745543,000298781IBM,
BDGE9643813,000298781IBM,
BDGE2585746,000298781IBM,
BDGE6649856,000298781IBM,
BDGE5487242,000298781IBM,
BDGE1327351,000298781IBM,
BDGE4147791,000298781IBM,
BDGE9522283,075370781IBM,
BDGE7242947,075370781IBM,
BDGE3787167,075370781IBM,
BDGE9373949,075370781IBM,
BDGE7516947,075370781IBM,
BDGE3813815,075370781IBM,
BDGE5511862,075370781IBM,
BDGE2751275,075370781IBM,
BDGE6585857,075370781IBM,
BDGE7449495,075370781IBM,
BDGE9448995,075370781IBM,
BDGE3863122,075370781IBM,
BDGE7562866,075511781IBM,
BDGE3122825,075511781IBM,
BDGE9883971,075511781IBM,
BDGE2472722,075511781IBM,
BDGE2725774,075511781IBM,
BDGE1224344,075511781IBM,
BDGE3433413,075511781IBM,
BDGE6829986,075511781IBM,
BDGE8992954,077724781IBM,
BDGE3475316,077724781IBM,
BDGE4569165,077724781IBM,
BDGE1298313,077724781IBM,
BDGE3334736,077724781IBM,
BDGE7647366,077724781IBM,
BDGE8653891,077362781IBM,
BDGE3895586,077362781IBM,
BDGE1794847,077362781IBM,
BDGE7869731,077362781IBM,
BDGE3319625,077362781IBM,
BDGE9531971,077362781IBM,
BDGE8824594,077362781IBM,
BDGE9558355,077362781IBM,
BDGE3112158,109853781IBM,
BDGE1831897,109853781IBM,
BDGE6137353,000212781IBM,
BDGE7589849,000212781IBM,
BDGE1445569,000212781IBM,
BDGE3336355,000212781IBM,
BDGE4411669,000212781IBM,
BDGE9239924,07721G781IBM,
BDGE2223653,07721G781IBM,
BDGE7339648,07721G781IBM,
BDGE3396644,07721G781IBM,
BDGE5714428,07721G781IBM,
BDGE5218136,07721G781IBM,
BDGE5414611,107511781IBM,
BDGE9566924,107511781IBM,
BDGE6759763,107511781IBM,
BDGE1834179,078810781IBM,
BDGE9186742,078810781IBM,
BDGE1632361,078810781IBM,
BDGE1712758,078810781IBM,
BDGE4421213,078810781IBM,
BDGE2964849,078810781IBM,
BDGE1291336,078810781IBM,
BDGE9135681,078810781IBM,
BDGE6612146,078810781IBM,
BDGE4775795,078810781IBM,
BDGE4627736,078810781IBM,
BDGE6155551,078810781IBM,
BDGE2446684,078810781IBM,
BDGE2869935,078810781IBM,
BDGE5279425,078810781IBM,
BDGE2444184,106267781IBM,
BDGE3341917,106267781IBM,
BDGE6575548,106267781IBM,
BDGE1827283,109794781IBM,
BDGE7266478,109794781IBM,
BDGE9732732,109794781IBM,
BDGE7133941,109794781IBM,
BDGE7115569,109794781IBM,
BDGE3591391,109794781IBM,
BDGE9169463,109794781IBM,
BDGE8332732,065122781IBM,
BDGE2415194,065122781IBM,
BDGE2678418,065122781IBM,
BDGE5785823,065122781IBM,
BDGE3536491,065122781IBM,
BDGE3221125,065122781IBM,
BDGE5739631,065122781IBM,
BDGE7662977,065122781IBM,
BDGE3396577,065122781IBM,
BDGE5466359,065122781IBM,
BDGE6685744,065122781IBM,
BDGE9382978,065122781IBM,
BDGE7794424,065122781IBM,
BDGE7668875,065122781IBM,
BDGE4386198,065122781IBM,
BDGE7745882,065122781IBM,
BDGE2236715,079443781IBM,
BDGE5934432,079443781IBM,
BDGE3576459,079443781IBM,
BDGE4637331,079443781IBM,
BDGE8938832,079443781IBM,
BDGE2413754,079443781IBM,
BDGE6386348,079443781IBM,
BDGE5267753,079443781IBM,
BDGE5942818,079443781IBM,
BDGE1375299,079443781IBM,
BDGE6213132,079443781IBM,
BDGE9285884,079443781IBM,
BDGE7757413,079443781IBM,
BDGE9977116,079443781IBM,
BDGE1912768,079443781IBM,
BDGE1587519,079443781IBM,
BDGE5272559,079443781IBM,
BDGE8759847,079443781IBM,
BDGE1841498,079443781IBM,
BDGE8942129,079443781IBM,
BDGE8973214,079443781IBM,
BDGE6328844,079443781IBM,
BDGE3132415,079443781IBM,
BDGE7248827,079443781IBM,
BDGE8955536,079443781IBM,
BDGE7193557,079443781IBM,
BDGE6516315,079443781IBM,
BDGE3625915,079443781IBM,
BDGE1984283,001529781IBM,
BDGE7656954,001529781IBM,
BDGE6338689,001529781IBM,
BDGE2266161,001529781IBM,
BDGE5824875,001529781IBM,
BDGE7382465,001529781IBM,
BDGE7744729,105737781IBM,
BDGE6442838,105737781IBM,
BDGE9982391,105737781IBM,
BDGE5228491,109078781IBM,
BDGE1882787,109078781IBM,
BDGE7197876,109078781IBM,
BDGE2376586,109078781IBM,
BDGE3873115,070651781IBM,
BDGE9592136,070651781IBM,
BDGE2882693,070651781IBM,
BDGE6524232,070651781IBM,
BDGE5757833,070651781IBM,
BDGE5951937,070651781IBM,
BDGE2226786,070651781IBM,
BDGE2693925,070651781IBM,
BDGE4564323,070651781IBM,
BDGE4113847,070651781IBM,
